timestamp,datetime,date,price_usd,volume_usd,high_usd,low_usd,open_usd,source,price_change_pct,volume_change_pct,proposal_id,dao,proposal_title,proposal_start,proposal_end,activist_score,detection_methods,days_from_proposal
1634947200000,2021-10-23,2021-10-23,3.691793918609619,1765942242.623211,3.7843708992004395,3.1782450675964355,3.3208069801330566,yahoo_finance,,,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",-91
1635033600000,2021-10-24,2021-10-24,3.5042099952697754,1658079236.0819302,3.9480860233306885,3.462135076522827,3.6948039531707764,yahoo_finance,-5.081104944516801,-6.10795777675357,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",-90
1635120000000,2021-10-25,2021-10-25,4.782371997833252,6034671738.919645,4.824978828430176,3.486063003540039,3.5030839443206787,yahoo_finance,36.475040145677,263.9555702524615,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",-89
1635206400000,2021-10-26,2021-10-26,4.610444068908691,5893922144.533648,5.255940914154053,4.531915187835693,4.788733959197998,yahoo_finance,-3.595034618855575,-2.3323488082749533,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",-88
1635292800000,2021-10-27,2021-10-27,4.433498859405518,3558871939.4014635,4.706809043884277,4.083062171936035,4.635385990142822,yahoo_finance,-3.837921181962356,-39.61793433762677,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",-87
1635379200000,2021-10-28,2021-10-28,4.760985851287842,6090368573.918244,5.490807056427002,4.417925834655762,4.417925834655762,yahoo_finance,7.386648835773846,71.13199568913208,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",-86
1635465600000,2021-10-29,2021-10-29,4.638280868530273,2247483869.679537,4.998627185821533,4.565275192260742,4.780815124511719,yahoo_finance,-2.5773019830415356,-63.097736329057405,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",-85
1635552000000,2021-10-30,2021-10-30,4.730094909667969,3289597013.712181,5.305322170257568,4.563043117523193,4.655728816986084,yahoo_finance,1.9794842904109933,46.367992139638204,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",-84
1635638400000,2021-10-31,2021-10-31,4.426344871520996,1641009092.7125206,4.739645957946777,4.3072590827941895,4.736931800842285,yahoo_finance,-6.421647851634638,-50.11519387109651,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",-83
1635724800000,2021-11-01,2021-11-01,4.484818935394287,1628325325.5157743,4.530279159545898,4.191091060638428,4.420482158660889,yahoo_finance,1.3210462711460202,-0.7729248578251746,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",-82
1635811200000,2021-11-02,2021-11-02,4.272500038146973,1362327965.0560312,4.619680881500244,4.246963977813721,4.508138179779053,yahoo_finance,-4.734168765915814,-16.335639831400893,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",-81
1635897600000,2021-11-03,2021-11-03,4.39374303817749,1944901779.5811653,4.606722831726074,4.108612060546875,4.27645206451416,yahoo_finance,2.837753047349345,42.76311060686282,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",-80
1635984000000,2021-11-04,2021-11-04,4.169503211975098,1234213728.486042,4.526126861572266,4.06817102432251,4.371642112731934,yahoo_finance,-5.103617217801759,-36.541076704046716,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",-79
1636070400000,2021-11-05,2021-11-05,4.0922322273254395,754141451.992403,4.2218828201293945,4.032350063323975,4.16057014465332,yahoo_finance,-1.8532419984167547,-38.89701316825599,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",-78
1636156800000,2021-11-06,2021-11-06,4.116229057312012,1253472421.9248018,4.293458938598633,3.8896820545196533,4.088651180267334,yahoo_finance,0.5863995162917801,66.21184508730981,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",-77
1636243200000,2021-11-07,2021-11-07,4.504068851470947,2254078259.57855,4.74409818649292,4.088612079620361,4.114789009094238,yahoo_finance,9.422211173354956,79.82671338849579,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",-76
1636329600000,2021-11-08,2021-11-08,4.631724834442139,1851339410.817904,4.672248840332031,4.3027777671813965,4.500945091247559,yahoo_finance,2.834236935110379,-17.86711916719107,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",-75
1636416000000,2021-11-09,2021-11-09,4.520167827606201,2313572479.0398626,4.992720127105713,4.441473960876465,4.636549949645996,yahoo_finance,-2.408541327981839,24.96749464312158,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",-74
1636502400000,2021-11-10,2021-11-10,4.09959602355957,1766980086.9132023,4.591526031494141,3.7160489559173584,4.522092819213867,yahoo_finance,-9.304340460061145,-23.625470871502475,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",-73
1636588800000,2021-11-11,2021-11-11,4.190141201019287,1385770466.205916,4.41866397857666,4.0467071533203125,4.098423004150391,yahoo_finance,2.2086365812477915,-21.574075652048485,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",-72
1636675200000,2021-11-12,2021-11-12,4.024740219116211,1184000226.870884,4.294978141784668,3.889116048812866,4.177515983581543,yahoo_finance,-3.9473844428641436,-14.560148614471213,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",-71
1636761600000,2021-11-13,2021-11-13,4.238601207733154,1319560798.1663346,4.383131980895996,4.028505802154541,4.028505802154541,yahoo_finance,5.313659440705587,11.449370381770517,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",-70
1636848000000,2021-11-14,2021-11-14,4.129929065704346,795536378.9002805,4.367869853973389,4.039405822753906,4.228899002075195,yahoo_finance,-2.5638680475657982,-39.71203297295888,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",-69
